epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0331,1.6527,2.67319,1.56224,0.01232,0.47826,0.00753,0.00419,1.3881,74.107,1.47921,0.00065942,0.00065942,0.00065942
2,78.634,1.45037,1.19721,1.4519,0.58718,0.7343,0.58064,0.32682,1.40179,1.98921,1.48792,0.00131296,0.00131296,0.00131296
3,104.888,1.42412,1.15624,1.46533,0.68762,0.62802,0.68901,0.40191,1.37547,4.85877,1.48448,0.0019533,0.0019533,0.0019533
4,131.077,1.37126,1.07688,1.4364,0.7877,0.76812,0.79625,0.4895,1.37114,1.18495,1.55204,0.0019406,0.0019406,0.0019406
5,156.63,1.34381,1.02386,1.3964,0.94056,0.71981,0.81893,0.52376,1.34483,1.03183,1.4454,0.0019208,0.0019208,0.0019208
6,181.33,1.28904,0.96707,1.38232,0.88321,0.82609,0.89436,0.56909,1.25894,0.91845,1.36056,0.001901,0.001901,0.001901
7,206.838,1.27939,0.92187,1.36069,0.87975,0.86957,0.91299,0.60018,1.21265,0.83719,1.33003,0.0018812,0.0018812,0.0018812
8,232.764,1.23449,0.86189,1.32857,0.9089,0.86473,0.93072,0.60702,1.19922,0.78081,1.27996,0.0018614,0.0018614,0.0018614
9,258.444,1.19976,0.85875,1.30126,0.9533,0.88763,0.9522,0.63097,1.14166,0.66452,1.29688,0.0018416,0.0018416,0.0018416
10,284.185,1.18496,0.81936,1.3021,0.94184,0.89855,0.94895,0.63052,1.18187,0.64807,1.29454,0.0018218,0.0018218,0.0018218
11,309.894,1.14373,0.79235,1.27874,0.92279,0.95169,0.96569,0.63133,1.17658,0.68777,1.34772,0.001802,0.001802,0.001802
12,335.724,1.1649,0.76093,1.28177,0.95499,0.92244,0.95949,0.65742,1.13538,0.60497,1.26833,0.0017822,0.0017822,0.0017822
13,361.136,1.13702,0.74324,1.25609,0.95578,0.9397,0.96452,0.67849,1.06134,0.59432,1.22923,0.0017624,0.0017624,0.0017624
14,386.729,1.08391,0.71809,1.23327,0.95453,0.9372,0.96706,0.64025,1.15018,0.56734,1.25845,0.0017426,0.0017426,0.0017426
15,411.65,1.0783,0.70218,1.22082,0.96986,0.93262,0.96258,0.62685,1.1583,0.64571,1.28841,0.0017228,0.0017228,0.0017228
16,435.863,1.08925,0.71426,1.23657,0.96658,0.92271,0.97371,0.66899,1.09738,0.55092,1.23738,0.001703,0.001703,0.001703
17,460.95,1.0541,0.68406,1.21664,0.96578,0.95443,0.97492,0.6818,1.10363,0.52334,1.23682,0.0016832,0.0016832,0.0016832
18,486.285,1.03968,0.66316,1.20441,0.98159,0.95169,0.97234,0.69867,1.03742,0.54486,1.20683,0.0016634,0.0016634,0.0016634
19,511.726,1.03653,0.66342,1.20883,0.97812,0.94686,0.98026,0.6771,1.05973,0.53213,1.20858,0.0016436,0.0016436,0.0016436
20,537.544,1.01465,0.65371,1.1821,0.97028,0.94622,0.96975,0.69341,1.01319,0.53036,1.1986,0.0016238,0.0016238,0.0016238
21,562.556,1.01178,0.6425,1.19098,0.973,0.95652,0.9784,0.69627,1.01429,0.49455,1.19967,0.001604,0.001604,0.001604
22,587.487,0.99427,0.6266,1.17239,0.94667,0.96135,0.97211,0.6872,1.04912,0.50061,1.20847,0.0015842,0.0015842,0.0015842
23,611.481,0.98084,0.61842,1.16199,0.92932,0.95277,0.96725,0.68596,1.04783,0.5699,1.21087,0.0015644,0.0015644,0.0015644
24,636.357,0.97153,0.60777,1.15296,0.97493,0.93951,0.97321,0.69841,1.01726,0.4839,1.18313,0.0015446,0.0015446,0.0015446
25,661.655,0.96205,0.60126,1.15888,0.96271,0.96135,0.97391,0.70393,0.99153,0.47571,1.16738,0.0015248,0.0015248,0.0015248
